date,team,opponent,location,MOV,OffRtg_diff,DefRtg_diff,ThreePA_diff,TOV_diff,ORB_diff,DRB_diff,RecentForm_diff,SOS_diff,Pace_diff
2025-12-20,St. John's (NY),Kentucky,0,-12,-2.8472727272727383,2.01909090909092,-3.8454545454545475,3.336363636363636,1.4454545454545453,-2.745454545454546,-2.1999999999999993,-2.0,1.5
2025-12-23,St. John's (NY),Harvard,1,26,5.336363636363643,-5.309090909090912,3.030303030303031,1.795454545454545,4.537878787878788,1.59090909090909,4.2,14.0,6.799999999999997
2025-12-31,St. John's (NY),Georgetown,-1,12,1.5814102564102512,-8.5275641025641,1.1089743589743613,4.185897435897436,1.1794871794871806,-0.08333333333333215,7.000000000000001,3.8000000000000007,3.700000000000003
2026-01-03,St. John's (NY),Providence,1,-6,-1.0153846153846189,-10.338461538461544,-4.846153846153847,1.384615384615385,2.5384615384615383,-3.615384615384613,3.5999999999999996,3.200000000000001,-3.200000000000003
2026-01-06,St. John's (NY),Butler,-1,14,-0.6100000000000136,-4.014285714285705,-0.10952380952380736,1.1523809523809536,-0.5952380952380949,-1.423809523809524,4.3999999999999995,4.0,-0.20000000000000284
2026-01-10,St. John's (NY),Creighton,-1,17,2.096666666666664,-4.92583333333333,-6.308333333333334,1.6750000000000007,2.604166666666666,-2.2958333333333343,-3.2,3.0,2.799999999999997
2026-01-13,St. John's (NY),Marquette,1,24,12.051102941176481,-7.194485294117655,-3.702205882352942,0.4963235294117645,0.3860294117647065,1.202205882352942,21.6,3.4000000000000004,0.09999999999999432
2026-01-20,St. John's (NY),Seton Hall,1,5,7.922222222222231,3.8444444444444343,5.722222222222221,1.2222222222222214,0.0,0.44444444444444287,11.0,3.8000000000000007,4.700000000000003
2026-01-28,St. John's (NY),Butler,1,22,1.7150000000000034,-4.885000000000005,-0.8500000000000014,-0.29999999999999893,0.8499999999999996,-0.9499999999999993,11.4,4.0,-0.20000000000000284
2026-02-03,St. John's (NY),DePaul,-1,12,11.314718614718615,-2.2517316017316062,-0.8831168831168803,-0.4610389610389607,3.0757575757575744,1.149350649350648,13.799999999999999,5.700000000000001,3.5999999999999943
2026-02-06,St. John's (NY),Connecticut,1,9,-0.7980237154150132,4.658498023715424,-1.3260869565217384,0.5059288537549413,1.6798418972332012,-0.8656126482213438,-4.800000000000001,-2.0,5.099999999999994
2026-02-14,St. John's (NY),Providence,-1,10,-0.8586666666666645,-13.836333333333329,-4.998333333333331,-1.0183333333333344,2.0583333333333336,-3.0249999999999986,10.4,3.200000000000001,-3.200000000000003
2026-02-18,St. John's (NY),Marquette,-1,6,9.524615384615387,-9.08292307692308,-4.652307692307694,-0.9507692307692306,1.8984615384615378,1.943076923076923,7.0,3.4000000000000004,0.09999999999999432
2026-02-21,St. John's (NY),Creighton,1,29,3.7863247863247835,-11.28376068376069,-7.548433048433047,0.12393162393162527,3.2720797720797723,-0.38461538461538325,10.8,3.0,2.799999999999997
2026-02-25,St. John's (NY),Connecticut,-1,-32,-1.9060846560846585,0.30714285714286405,-2.5740740740740726,0.1547619047619051,1.579365079365079,0.4259259259259274,10.200000000000001,-2.0,5.099999999999994
2026-03-03,St. John's (NY),Georgetown,1,3,4.251724137931035,-10.386206896551712,-0.4482758620689644,0.3793103448275854,1.0344827586206904,1.0689655172413808,16.0,3.8000000000000007,3.700000000000003
2026-03-06,St. John's (NY),Seton Hall,-1,7,7.160000000000011,0.35999999999999943,5.133333333333333,-0.2666666666666675,0.4666666666666668,1.8000000000000007,6.8,3.8000000000000007,4.700000000000003
2026-03-12,St. John's (NY),Providence,0,13,-1.5677419354838662,-13.990221774193543,-4.534274193548388,-1.779233870967742,1.59375,-2.289314516129032,7.8,3.200000000000001,-3.200000000000003
2026-03-13,St. John's (NY),Seton Hall,0,10,7.299999999999997,0.22187499999999716,5.625,-0.15625,0.59375,1.65625,1.9999999999999996,3.8000000000000007,4.700000000000003
2026-03-14,St. John's (NY),Connecticut,0,20,-3.5727272727272634,1.163636363636357,-2.9696969696969724,-0.06060606060606055,1.333333333333334,0.45454545454545325,-1.1999999999999993,-2.0,5.099999999999994
2026-03-20,St. John's (NY),Northern Iowa,0,26,4.200504201680658,1.7306722689075684,-1.120168067226892,1.1731092436974784,5.226890756302521,1.1075630252100837,-3.8000000000000007,10.100000000000001,7.799999999999997
2026-03-22,St. John's (NY),Kansas,0,2,4.373109243697471,-2.919579831932765,0.02857142857142847,-0.20588235294117574,1.942857142857143,-2.969747899159664,15.2,-2.0,2.5
2026-03-27,St. John's (NY),Duke,0,-5,-8.49166666666666,3.1055555555555543,-4.361111111111111,-0.3611111111111125,-0.02777777777777679,-2.6388888888888893,5.0,-2.8999999999999986,4.599999999999994
2025-11-14,St. Mary's (CA),North Texas,1,31,17.42500000000001,1.5833333333333286,3.333333333333332,-0.3333333333333339,0.25,3.5,10.416666666666668,5.8,-1.8999999999999915
2025-11-19,St. Mary's (CA),Arkansas State,1,13,14.349999999999994,-22.099999999999994,-3.25,-1.75,1.0,5.25,25.0,8.8,-7.200000000000003
2025-12-07,St. Mary's (CA),Davidson,-1,9,3.5333333333333314,-10.137500000000003,-3.541666666666668,0.4861111111111107,3.416666666666666,5.541666666666668,9.2,4.6,1.4000000000000057
2025-12-14,St. Mary's (CA),Boise State,0,-1,6.909999999999982,-6.1200000000000045,-4.100000000000001,0.0,1.0,2.0,2.200000000000001,0.39999999999999947,-1.7999999999999972
2025-12-19,St. Mary's (CA),Florida Atlantic,1,13,-1.8999999999999915,-8.272727272727266,-7.272727272727273,0.0,-1.454545454545455,2.0,-15.0,5.1,-5.099999999999994
